Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,05-02-2010,24924.5,FALSE
1,1,12-02-2010,46039.49,TRUE
1,1,19-02-2010,41595.55,FALSE
1,1,26-02-2010,19403.54,FALSE
1,1,05-03-2010,21827.9,FALSE
1,1,12-03-2010,21043.39,FALSE
1,1,19-03-2010,22136.64,FALSE
1,1,26-03-2010,26229.21,FALSE
1,1,02-04-2010,57258.43,FALSE
1,1,09-04-2010,42960.91,FALSE
1,1,16-04-2010,17596.96,FALSE
1,1,23-04-2010,16145.35,FALSE
1,1,30-04-2010,16555.11,FALSE
1,1,07-05-2010,17413.94,FALSE
1,1,14-05-2010,18926.74,FALSE
1,1,21-05-2010,14773.04,FALSE
1,1,28-05-2010,15580.43,FALSE
1,1,04-06-2010,17558.09,FALSE
1,1,11-06-2010,16637.62,FALSE
1,1,18-06-2010,16216.27,FALSE
1,1,25-06-2010,16328.72,FALSE
1,1,02-07-2010,16333.14,FALSE
1,1,09-07-2010,17688.76,FALSE
1,1,16-07-2010,17150.84,FALSE
1,1,23-07-2010,15360.45,FALSE
1,1,30-07-2010,15381.82,FALSE
1,1,06-08-2010,17508.41,FALSE
1,1,13-08-2010,15536.4,FALSE
1,1,20-08-2010,15740.13,FALSE
1,1,27-08-2010,15793.87,FALSE
1,1,03-09-2010,16241.78,FALSE
1,1,10-09-2010,18194.74,TRUE
1,1,17-09-2010,19354.23,FALSE
1,1,24-09-2010,18122.52,FALSE
1,1,01-10-2010,20094.19,FALSE
1,1,08-10-2010,23388.03,FALSE
1,1,15-10-2010,26978.34,FALSE
1,1,22-10-2010,25543.04,FALSE
1,1,29-10-2010,38640.93,FALSE
1,1,05-11-2010,34238.88,FALSE
1,1,12-11-2010,19549.39,FALSE
1,1,19-11-2010,19552.84,FALSE
1,1,26-11-2010,18820.29,TRUE
1,1,03-12-2010,22517.56,FALSE
1,1,10-12-2010,31497.65,FALSE
1,1,17-12-2010,44912.86,FALSE
1,1,24-12-2010,55931.23,FALSE
1,1,31-12-2010,19124.58,TRUE
1,1,07-01-2011,15984.24,FALSE
1,1,14-01-2011,17359.7,FALSE
1,1,21-01-2011,17341.47,FALSE
1,1,28-01-2011,18461.18,FALSE
1,1,04-02-2011,21665.76,FALSE
1,1,11-02-2011,37887.17,TRUE
1,1,18-02-2011,46845.87,FALSE
1,1,25-02-2011,19363.83,FALSE
1,1,04-03-2011,20327.61,FALSE
1,1,11-03-2011,21280.4,FALSE
1,1,18-03-2011,20334.23,FALSE
1,1,25-03-2011,20881.1,FALSE
1,1,01-04-2011,20398.09,FALSE
1,1,08-04-2011,23873.79,FALSE
1,1,15-04-2011,28762.37,FALSE
1,1,22-04-2011,50510.31,FALSE
1,1,29-04-2011,41512.39,FALSE
1,1,06-05-2011,20138.19,FALSE
1,1,13-05-2011,17235.15,FALSE
1,1,20-05-2011,15136.78,FALSE
1,1,27-05-2011,15741.6,FALSE
1,1,03-06-2011,16434.15,FALSE
1,1,10-06-2011,15883.52,FALSE
1,1,17-06-2011,14978.09,FALSE
1,1,24-06-2011,15682.81,FALSE
1,1,01-07-2011,15363.5,FALSE
1,1,08-07-2011,16148.87,FALSE
1,1,15-07-2011,15654.85,FALSE
1,1,22-07-2011,15766.6,FALSE
1,1,29-07-2011,15922.41,FALSE
1,1,05-08-2011,15295.55,FALSE
1,1,12-08-2011,14539.79,FALSE
1,1,19-08-2011,14689.24,FALSE
1,1,26-08-2011,14537.37,FALSE
1,1,02-09-2011,15277.27,FALSE
1,1,09-09-2011,17746.68,TRUE
1,1,16-09-2011,18535.48,FALSE
1,1,23-09-2011,17859.3,FALSE
1,1,30-09-2011,18337.68,FALSE
1,1,07-10-2011,20797.58,FALSE
1,1,14-10-2011,23077.55,FALSE
1,1,21-10-2011,23351.8,FALSE
1,1,28-10-2011,31579.9,FALSE
1,1,04-11-2011,39886.06,FALSE
1,1,11-11-2011,18689.54,FALSE
1,1,18-11-2011,19050.66,FALSE
1,1,25-11-2011,20911.25,TRUE
1,1,02-12-2011,25293.49,FALSE
1,1,09-12-2011,33305.92,FALSE
1,1,16-12-2011,45773.03,FALSE
1,1,23-12-2011,46788.75,FALSE
1,1,30-12-2011,23350.88,TRUE
1,1,06-01-2012,16567.69,FALSE
